0,,,,,,,,,,
6,1.0360,1.0340,1.0307,1.0294,1.0383,1.0485,1.0554,1.0691,1.0720,1.0714
7,1.1283,1.1267,1.1246,1.1239,1.1369,1.1503,1.1578,1.1600,1.1634,1.1683
8,1.2177,1.2159,1.2111,1.2108,1.2308,1.2357,1.2382,1.2534,1.2597,1.2591
9,1.2885,1.2790,1.2789,1.2822,1.2941,1.3079,1.3194,1.3297,1.3464,1.3558
10,1.3216,1.3147,1.3186,1.3253,1.3567,1.3571,1.3681,1.4098,1.4310,1.4413
11,1.3409,1.3416,1.3549,1.3679,1.3860,1.4071,1.4259,1.4735,1.5073,1.5267
12,1.3540,1.3616,1.3826,1.3871,1.4177,1.4390,1.4694,1.5352,1.5720,1.5917
13,1.3315,1.3457,1.3671,1.3798,1.4184,1.4581,1.4741,1.5827,1.6183,1.6461
14,1.2836,1.3118,1.3364,1.3548,1.3839,1.4521,1.4784,1.6111,1.6533,1.6986
15,1.2549,1.2832,1.3063,1.3145,1.3517,1.4093,1.4670,1.5812,1.6857,1.7372
16,1.2290,1.2604,1.2802,1.2840,1.3250,1.3483,1.4318,1.5672,1.6978,1.7577
17,1.1483,1.2355,1.2532,1.2584,1.2910,1.3175,1.3833,1.5369,1.6908,1.7525
18,0.6849,1.1797,1.2180,1.2187,1.2568,1.2843,1.3343,1.4804,1.6576,1.7057
19,0.9958,1.0146,1.1601,1.1581,1.2235,1.2541,1.2929,1.4147,1.5970,1.6545
20,1.0132,1.0350,1.0346,1.0578,1.1863,1.2247,1.2616,1.3597,1.5200,1.5813
,,,,,,,,,,
0.3,,,,,,,,,,
alpha,100000,150000,200000,250000,500000,750000,1000000,2000000,3000000,4000000
-10,-0.3336,-0.3631,-0.2414,-0.3338,-0.3484,-0.3531,-0.4098,-0.6801,-0.7455,-0.7692
-9,-0.3201,-0.3224,-0.2813,-0.3619,-0.3667,-0.3789,-0.3908,-0.5753,-0.6193,-0.6404
-8,-0.4149,-0.4133,-0.2328,-0.3757,-0.3433,-0.4050,-0.4447,-0.5057,-0.5150,-0.5099
-7,-0.3907,-0.3859,-0.3734,-0.3277,-0.2961,-0.3595,-0.3664,-0.3974,-0.4102,-0.4095
-6,-0.4739,-0.3585,-0.2950,-0.2670,-0.2489,-0.2648,-0.2612,-0.2864,-0.2956,-0.2974
-5,-0.4012,-0.2602,-0.2008,-0.1583,-0.1478,-0.1569,-0.1559,-0.1730,-0.1785,-0.1795
-4,-0.2680,-0.1243,-0.0653,-0.0348,-0.0402,-0.0454,-0.0481,-0.0561,-0.0592,-0.0610
-3,-0.1150,0.0268,0.0672,0.0753,0.0726,0.0692,0.0669,0.0634,0.0615,0.0602
-2,0.0453,0.1527,0.1813,0.1875,0.1871,0.1848,0.1838,0.1817,0.1812,0.1805
-1,0.2303,0.2635,0.2838,0.2937,0.2989,0.2982,0.3002,0.3004,0.3001,0.2999
0,0.3748,0.4541,0.4632,0.4450,0.4044,0.4116,0.4135,0.4160,0.4175,0.4156
1,0.5033,0.5576,0.5657,0.5688,0.5571,0.5117,0.5185,0.5304,0.5318,0.5313
2,0.6308,0.6613,0.6689,0.6709,0.6741,0.6762,0.6659,0.6333,0.6407,0.6437
3,0.7471,0.7660,0.7695,0.7706,0.7717,0.7733,0.7751,0.7699,0.7459,0.7538
4,0.8542,0.8663,0.8662,0.8655,0.8649,0.8671,0.8716,0.8851,0.8938,0.8849
5,0.9601,0.9641,0.9612,0.9586,0.9630,0.9705,0.9773,0.9933,1.0011,1.0051
6,1.0610,1.0599,1.0565,1.0552,1.0653,1.0776,1.0860,1.1005,1.1027,1.1024
